dimension,volume,surface,complexity,timestamp,notes
4.0,4.934802200544679,19.739208802178716,97.40909103400243,2025-08-27T13:09:57.551120,"CLI parameter sweep"
4.222222222222222,5.045868757720509,21.30477919926437,107.50111975170185,2025-08-27T13:09:57.551183,"CLI parameter sweep"
4.444444444444445,5.13537431757206,22.823885855875822,117.20919725146089,2025-08-27T13:09:57.551240,"CLI parameter sweep"
4.666666666666667,5.2030662185260885,24.28097568645508,126.33552434704772,2025-08-27T13:09:57.551294,"CLI parameter sweep"
4.888888888888889,5.248952619908321,25.661546141774014,134.69623985176298,2025-08-27T13:09:57.551346,"CLI parameter sweep"
5.111111111111111,5.27328754322007,26.952358554235907,142.12753662445309,2025-08-27T13:09:57.551399,"CLI parameter sweep"
5.333333333333333,5.276552691316368,28.1416143536873,148.49071095593607,2025-08-27T13:09:57.551451,"CLI parameter sweep"
5.555555555555555,5.2594366877783365,29.219092709879646,153.67596818193755,2025-08-27T13:09:57.551502,"CLI parameter sweep"
5.777777777777778,5.222812373846973,30.176249271115843,157.60488808947454,2025-08-27T13:09:57.551553,"CLI parameter sweep"
6.0,5.167712780049969,31.006276680299816,160.2315322625507,2025-08-27T13:09:57.551605,"CLI parameter sweep"
